X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-76.974189467647506,38.873964756422893,48,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-31T12:47:57.000Z,2017-11-03T08:28:03.000Z,2017-12-12T13:47:00.000Z,2017-10-31T12:47:57.000Z,N,,,CLOSED,CLOSED,17-00613571,STANDARD,2222 NICHOLSON STREET SE,402239.92,134014.64,38.87395731,-76.97418719,WASHINGTON,DC,20020,50066,7
-76.974189467647506,38.873964756422893,49,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-31T12:49:19.000Z,2017-11-02T07:38:03.000Z,2017-12-15T13:49:00.000Z,2017-10-31T12:49:19.000Z,N,,,CLOSED,CLOSED,17-00613578,STANDARD,2222 NICHOLSON STREET SE,402239.92,134014.64,38.87395731,-76.97418719,WASHINGTON,DC,20020,50066,7
-76.958199061940149,38.894336557377216,50,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-31T13:17:21.000Z,2017-11-02T07:43:04.000Z,2017-12-15T14:17:00.000Z,2017-10-31T13:17:21.000Z,N,,,CLOSED,CLOSED,17-00613700,STANDARD,3342 CLAY PLACE NE,403626.46,136276.58,38.8943291,-76.95819679,WASHINGTON,DC,20019,35841,7
-76.93399735593691,38.899387642626685,51,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T13:55:25.000Z,2017-11-13T15:08:00.000Z,2017-12-14T14:55:00.000Z,2017-11-02T13:55:25.000Z,N,,,CLOSED,CLOSED,17-00620072,STANDARD,710 48TH STREET NE,405725.57,136838.53,38.89938019,-76.93399509,WASHINGTON,DC,20019,76813,7
-77.026264844261746,38.952769776445429,52,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-30T10:20:54.000Z,2017-10-30T10:52:59.000Z,2017-12-11T11:20:00.000Z,2017-10-30T10:20:54.000Z,N,,,CLOSED,CLOSED,17-00610530,STANDARD,908 HAMILTON STREET NW,397723.57,142762.66,38.95276231,-77.02626255,WASHINGTON,DC,20011,251727,4
-76.966290729109247,38.875111404906391,53,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-31T13:58:32.000Z,2017-11-02T08:08:02.000Z,2017-12-15T14:58:00.000Z,2017-10-31T13:58:32.000Z,N,,,CLOSED,CLOSED,17-00613869,STANDARD,1327 ANACOSTIA ROAD SE,402925.29,134142.15,38.87510395,-76.96628846,WASHINGTON,DC,20019,67445,7
-77.046998852823592,38.933121875046282,54,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T17:20:17.000Z,2017-11-14T08:12:57.000Z,2017-12-14T17:00:00.000Z,2017-11-02T17:20:17.000Z,N,,,CLOSED,CLOSED,17-00620602,STANDARD,2000 ROSEMOUNT AVENUE NW,395925.23,140582.29,38.93311442,-77.04699655,WASHINGTON,DC,20010,234873,1
-77.022723110732258,38.927210565927609,55,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T06:35:01.000Z,2017-11-14T07:53:06.000Z,2017-12-13T17:00:00.000Z,2017-11-02T06:35:01.000Z,N,,,CLOSED,CLOSED,17-00618483,STANDARD,2851 GEORGIA AVENUE NW,398029.86,139925.28,38.92720311,-77.02272082,WASHINGTON,DC,20001,237988,1
-76.985850738181625,38.920896275488268,56,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T07:54:12.000Z,,2017-12-13T18:00:00.000Z,2017-11-02T07:54:12.000Z,N,,,OPEN,OPEN,17-00618510,STANDARD,1383 BRYANT STREET NE,401227.2,139224.19,38.92088882,-76.98584846,WASHINGTON,DC,20018,65309,5
-77.046366165730078,38.94241121497722,57,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-30T09:41:52.000Z,2017-10-30T11:12:53.000Z,2017-12-14T10:41:00.000Z,2017-10-30T09:41:52.000Z,N,,,CLOSED,CLOSED,17-00610370,STANDARD,4201 BLAGDEN AVENUE NW,395980.61,141613.46,38.94240375,-77.04636387,WASHINGTON,DC,20011,258401,4
-76.993420868248123,38.860899280980583,58,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-30T12:39:35.000Z,2017-11-14T17:33:01.000Z,2017-12-14T13:39:00.000Z,2017-10-30T12:39:35.000Z,N,,,CLOSED,CLOSED,17-00611347,STANDARD,2512 SHERIDAN ROAD SE,400571.21,132563.98,38.86089183,-76.99341859,WASHINGTON,DC,20020,287088,8
-76.984773945117993,38.893229158625999,59,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-30T14:11:26.000Z,2017-11-03T09:13:04.000Z,2017-12-14T15:11:00.000Z,2017-10-30T14:11:26.000Z,N,,,CLOSED,CLOSED,17-00611480,STANDARD,244 14TH PLACE NE,401321.09,136152.93,38.89322171,-76.98477167,WASHINGTON,DC,20002,307766,6
-77.036822055925384,38.934807194734859,60,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-30T15:30:12.000Z,2017-11-02T07:22:48.000Z,2017-12-11T16:30:00.000Z,2017-10-30T15:30:12.000Z,N,,,CLOSED,CLOSED,17-00611758,STANDARD,3504 16TH STREET NW,396807.67,140768.97,38.93479974,-77.03681976,WASHINGTON,DC,20010,234111,1
-76.977327704582322,38.900369693095861,61,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-31T08:03:11.000Z,2017-11-03T08:38:10.000Z,2017-12-14T18:00:00.000Z,2017-10-31T08:03:11.000Z,N,,,CLOSED,CLOSED,17-00612470,STANDARD,1802 H STREET NE,401966.87,136945.72,38.90036224,-76.97732543,WASHINGTON,DC,20002,56000,5
-76.977151170715032,38.903722479196666,62,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-31T08:01:09.000Z,2017-11-03T08:43:05.000Z,2017-12-14T18:00:00.000Z,2017-10-31T08:01:09.000Z,N,,,CLOSED,CLOSED,17-00612468,STANDARD,1800 - 1899 BLOCK OF L STREET NE,401982.09,137317.91,38.9037146894616,-76.9771488940677,WASHINGTON,DC,20002,805534,5
-77.026276891222736,38.951650315691445,63,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-30T10:11:40.000Z,2017-10-30T10:52:58.000Z,2017-12-14T11:11:00.000Z,2017-10-30T10:11:40.000Z,N,,,CLOSED,CLOSED,17-00610484,STANDARD,912 GALLATIN STREET NW,397722.49,142638.39,38.95164285,-77.0262746,WASHINGTON,DC,20011,251853,4
-76.966096477127508,38.922559835480385,64,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T15:23:13.000Z,2017-11-11T07:57:59.000Z,2017-12-19T16:23:00.000Z,2017-11-02T15:23:13.000Z,N,,,CLOSED,CLOSED,17-00620386,STANDARD,3004 CHANNING STREET NE,402940.19,139409.31,38.92255238,-76.9660942,WASHINGTON,DC,20018,42427,5
-76.966268893710065,38.923014625537959,65,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T15:21:32.000Z,2017-11-17T16:57:55.000Z,2017-12-14T16:21:00.000Z,2017-11-02T15:21:32.000Z,N,,,CLOSED,CLOSED,17-00620379,STANDARD,2519 30TH STREET NE,402925.22,139459.79,38.92300717,-76.96626662,WASHINGTON,DC,20018,46503,5
-77.016470287084687,38.947326153832257,426,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-16T15:01:08.000Z,,2017-12-28T15:01:00.000Z,2017-11-16T15:01:08.000Z,N,,,OPEN,OPEN,17-00646690,STANDARD,4634 NEW HAMPSHIRE AVENUE NW,398572.45,142158.17,38.94731869,-77.016468,WASHINGTON,DC,20011,243959,4
-77.011848510605859,38.951164510209367,427,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-16T15:03:49.000Z,,2017-12-28T15:03:00.000Z,2017-11-16T15:03:49.000Z,N,,,OPEN,OPEN,17-00646702,STANDARD,5021 1ST STREET NW,398973.15,142584.2,38.95115705,-77.01184622,WASHINGTON,DC,20011,243546,4
